Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks
9,279561,,1,"Broken Angels (Takeshi Kovacs, #2)",None,480,48.792957,0,0.589509,67770,0,0.149279,0.000078
11,13281368,,1,"The Twelve (The Passage, #2)",None,671,47.782256,3,0.515399,115854,0,0.319028,0.000108
18,18245960,,1,"The Three-Body Problem (Remembrance of Earth&#8217;s Past, #1)",None,389,37.831385,0,0.568852,42929,0,0.125228,0.000065
23,360,,1,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",None,503,42.252403,2,0.559385,70624,0,0.221027,0.000088
43,27530,,1,"The Remnant (Left Behind, #10)",None,194,24.333017,3,0.755248,14139,0,0.1478,0.000077
44,13452375,,1,"Legion (Legion, #1)",None,573,58.685324,1,0.559581,91703,0,0.176564,0.000083
46,10577,,1,Roadwork,None,385,44.001638,3,0.584537,43209,0,0.161384,0.000078
48,22910024,,1,"The Glass Magician (The Paper Magician, #2)",None,176,12.869741,0,0.577922,8900,0,0.126887,0.000057
52,29875363,,1,The Fireman,None,312,29.831136,3,0.628617,30498,0,0.166873,0.000081
67,184040,,1,"Y: The Last Man, Vol. 4: Safeword (Y: The Last Man, #4)",None,253,30.167499,4,0.637744,20330,0,0.107492,0.000063
72,13596166,,1,Joyland,None,526,40.138956,3,0.545059,75259,0,0.381285,0.000124
75,77727,,1,Calvin and Hobbes (Calvin and Hobbes #1),None,653,44.165534,4,0.497576,105923,0,0.425146,0.000144
79,11734251,,1,"Death of Kings (The Saxon Stories, #6)",None,170,21.873427,5,0.625618,8987,0,0.074386,0.000053
89,29467232,,1,"The Blood Mirror (Lightbringer, #4)",None,550,66.023943,1,0.564974,85297,0,0.140061,0.000088
95,10889279,,1,Batman: The Black Mirror,None,183,18.153632,4,0.575812,9589,0,0.07556,0.000041
108,32769,,1,At the Mountains of Madness and Other Tales of Terror,None,230,27.527273,3,0.703778,18534,0,0.096786,0.00006
115,9293020,,1,The Elephant Tree,None,200,11.539558,5,0.600402,11948,0,0.132869,0.000054
121,149606,,1,When Eight Bells Toll,None,184,30.5,5,0.74602,12560,0,0.08402,0.000067
124,12962439,,1,"A Game of Thrones: The Graphic Novel, Volume One (A Song of Ice and Fire: The Graphic Novels, #1)",None,394,36.21114,1,0.612302,47405,0,0.167621,0.000073
133,33458,,1,"The Lust Lizard of Melancholy Cove (Pine Cove, #2)",None,291,28.253501,3,0.686005,28946,0,0.177843,0.000079
136,8447255,,1,"The Crippled God (Malazan Book of the Fallen, #10)",None,443,63.278238,1,0.663779,64986,0,0.110859,0.000077
137,144792,,1,Temple,None,307,32.972627,5,0.595495,27971,0,0.098753,0.000061
158,295801,,1,The House with a Clock in Its Walls,None,235,20.61543,0,0.669322,18403,0,0.199016,0.000083
161,23157777,,1,"Fool's Quest  (The Fitz and The Fool, #2)",None,382,54.154545,1,0.671531,48868,0,0.111624,0.00008
167,5776788,,1,"Sandman Slim (Sandman Slim, #1)",None,447,38.997397,1,0.588628,58675,0,0.166152,0.000071
187,23807,,1,"The Silence of the Lambs  (Hannibal Lecter, #2)",None,1046,108.07069,3,0.377678,206414,0,0.578845,0.000269
194,761575,,1,House Atreides (Prelude to Dune #1),None,265,41.2,0,0.664122,23231,0,0.107223,0.000075
195,11483869,,1,"The Magician King (The Magicians, #2)",None,237,27.490909,0,0.665558,18613,0,0.091669,0.000056
199,144127,,1,The Runelords (Runelords #1),None,476,53.121916,1,0.579009,65457,0,0.146714,0.000079
215,64949,,1,The Voice of the Night,None,202,27.2,3,0.66647,13530,0,0.090945,0.000059
217,228296,,1,"Rosemary's Baby (Rosemary's Baby, #1)",None,445,36.308652,3,0.539417,53289,0,0.326446,0.000108
224,10595576,,1,Run,None,250,33,3,0.631647,19660,0,0.0808,0.000063
233,13630171,,1,"The Skull Throne (Demon Cycle, #4)",None,620,70.851121,1,0.564011,108228,0,0.159567,0.000094
242,30134847,,1,"Waking Gods (Themis Files, #2)",None,227,24.590909,0,0.659779,16924,0,0.084531,0.000057
244,213105,,1,"Dreams Made Flesh (The Black Jewels, #5)",None,180,23.5,2,0.636313,10251,0,0.05598,0.000053
261,148809,,1,"The Fourth Bear (Nursery Crime, #2)",None,196,30.372727,2,0.722868,13814,0,0.126689,0.000078
265,7767021,,1,"Who Fears Death (Who Fears Death, #1)",None,318,31.542424,4,0.641767,32347,0,0.144899,0.000075
268,18739426,,1,"The Bands of Mourning (Mistborn, #6)",None,774,82.458095,1,0.484374,144901,0,0.256144,0.000117
269,43884,,1,"Phantom (Sword of Truth, #10)",None,549,52.103116,1,0.535273,80519,0,0.185188,0.000081
283,16043804,,1,"The Crown Tower (The Riyria Chronicles, #1)",None,463,56.184183,1,0.61801,66098,0,0.142797,0.000081
290,927979,,1,"Small Favor (The Dresden Files, #10)",None,847,74.925178,1,0.470586,168602,0,0.301114,0.000116
292,76679,,1,Forward the Foundation (Foundation: Prequel #2),None,356,36.987873,0,0.601693,38021,0,0.165158,0.000075
295,216443,,1,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",None,671,51.541417,0,0.488396,109784,0,0.206261,0.000082
296,28553,,1,"Dragondrums (Harper Hall, #3)",None,316,41.872727,2,0.668013,33247,0,0.152719,0.00009
299,99245,,1,Nightfall,None,362,41.202914,0,0.633599,41400,0,0.1658,0.000085
300,23347055,,1,The Girl on the Train,None,133,12.663636,4,0.622351,5463,0,0.087329,0.000058
304,547094,,1,I Am Legend and Other Stories,None,829,64.804118,3,0.46116,158273,0,0.347032,0.000117
307,884288,,1,"Interesting Times (Discworld, #17; Rincewind #5)",None,566,64.288419,2,0.5811,92915,0,0.199304,0.000096
310,37442,,1,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",None,1058,94.533367,2,0.390035,218089,0,0.716629,0.000382
317,7937744,,1,Surface Detail (Culture #9),None,368,48.045455,0,0.667856,45099,0,0.108104,0.000075
319,156532,,1,"Y: The Last Man, Vol. 9: Motherland (Y: The Last Man, #9)",None,210,27.824126,4,0.682524,14978,0,0.080546,0.000054
320,23492589,,1,"Finders Keepers (Bill Hodges Trilogy, #2)",None,519,35.022587,3,0.512822,68934,0,0.305331,0.000105
324,15704459,,1,"Firefight (The Reckoners, #2)",None,744,82.197621,1,0.501245,138542,0,0.275477,0.000129
327,22418,,1,"Transmetropolitan, Vol. 3: Year of the Bastard",None,229,33.6,4,0.662185,17287,0,0.07967,0.00006
333,7673,,1,Eaters of the Dead,None,532,48.358731,5,0.571103,80666,0,0.173121,0.000078
334,16429,,1,The Husband,None,312,38.169019,3,0.630431,30586,0,0.206093,0.000087
338,9579634,,1,"Prince of Thorns (The Broken Empire, #1)",None,889,90.051732,1,0.469811,185442,0,0.245429,0.000113
340,429883,,1,"The Hidden City (The Tamuli, #3)",None,525,59.781126,2,0.563381,77493,0,0.149318,0.000084
354,156533,,1,"Y: The Last Man, Vol. 5: Ring of Truth (Y: The Last Man, #5)",None,238,37.345455,4,0.658015,18558,0,0.102256,0.000075
366,95558,,1,Solaris,None,345,22.105866,0,0.610364,36219,0,0.181192,0.000062
371,25101,,1,"Season of Mists (The Sandman, #4)",None,601,56.141505,4,0.515302,92909,0,0.268698,0.000105
378,5417,,1,Carrie / 'Salem's Lot / The Shining,None,170,22.7,3,0.771667,11085,0,0.106116,0.000064
382,136642,,1,The Ice Limit (Ice Limit #1),None,257,35.6,5,0.638163,20993,0,0.094002,0.000073
385,169959,,1,"The King's Buccaneer (Krondor's Sons, #2)",None,397,51.757484,1,0.679465,53410,0,0.141467,0.000078
391,239109,,1,"The Lone Drow (Forgotten Realms: Hunter's Blades, #2; Legend of Drizzt, #15)",None,469,65.791725,1,0.623294,68404,0,0.119465,0.000083
395,147843,,1,"Green Rider (Green Rider, #1)",None,309,31.704812,1,0.643551,30624,0,0.138465,0.000072
397,223380,,1,Stories of Your Life and Others,None,265,25.137879,0,0.606261,21207,0,0.150781,0.000078
424,68378,,1,"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",None,610,52.25984,1,0.548096,101806,0,0.210721,0.000083
425,349090,,1,Infinity Welcomes Careful Drivers (Red Dwarf #1),None,233,29.7,0,0.696463,18824,0,0.086493,0.00006
443,9976857,,1,Les Mis&#233;rables,None,124,10.050932,3,0.734592,5602,0,0.099114,0.000048
447,40940649,,1,I Am Legend,None,390,40.050229,3,0.631837,47928,0,0.207667,0.000098
453,35097545,,1,Artemis,None,217,17.866792,0,0.641492,15034,0,0.11301,0.000059
455,416580,,1,"The Seventh Scroll (Ancient Egypt, #2)",None,200,26.1,5,0.73,14527,0,0.076718,0.000052
459,32139,,1,"The Deeds of the Disturber (Amelia Peabody, #5)",None,115,13.2,1,0.868345,5692,0,0.067844,0.000045
467,108942,,1,"Bad Luck and Trouble (Jack Reacher, #11)",None,428,35.345093,5,0.580566,53051,0,0.185181,0.000079
471,92846,,1,"Antrax (Voyage of the Jerle Shannara, #2)",None,314,46.895455,2,0.663377,32599,0,0.116361,0.000076
477,16790,,1,Smoke and Mirrors: Short Fiction and Illusions,None,607,41.967062,4,0.528857,97268,0,0.245673,0.000086
479,29411529,,1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",None,97,9.7,0,0.963273,4485,0,0.042994,0.000041
481,509784,,1,The End of Eternity,None,321,30.884509,0,0.679634,34906,0,0.16261,0.000073
489,95395,,1,"Preacher, Volume 4: Ancient History",None,172,23.809091,4,0.728954,10720,0,0.085181,0.000059
493,77161,,1,"Grass for His Pillow (Tales of the Otori, #2)",None,205,23.618182,1,0.728168,15226,0,0.104715,0.000062
513,28760,,1,Magic's Promise (Valdemar: Last Herald-Mage #2),None,331,42.971212,2,0.648979,35444,0,0.096907,0.000067
514,34993,,1,"The Sum of All Fears (Jack Ryan, #6)",None,650,54.091201,5,0.489819,103315,0,0.250717,0.000104
523,402045,,1,"The Mists of Avalon (Avalon, #1)",None,763,50.596568,2,0.46433,134982,0,0.439376,0.000151
526,11127,,1,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",None,1130,94.919137,0,0.3896,248520,0,0.710554,0.000367
527,96472,,1,"Sundiver (The Uplift Saga, #1)",None,465,52.360606,0,0.569911,61482,0,0.151612,0.000083
537,761732,,1,"Soul of the Fire (Sword of Truth, #5)",None,839,78.717347,1,0.468036,164534,0,0.266705,0.000111
560,29034,,1,Twelve Angry Men,None,212,21.343939,0,0.766431,17142,0,0.127921,0.000066
564,13667,,1,"The Farthest Shore (Earthsea Cycle, #3)",None,625,46.210044,0,0.515462,100515,0,0.275446,0.000089
565,34532,,1,"Hogfather (Discworld, #20; Death, #4)",None,666,70.248029,2,0.514602,113956,0,0.298012,0.000114
573,11275323,,1,"Raising Steam (Discworld, #40, Moist von Lipwig #3)",None,513,60.218323,2,0.569125,74742,0,0.185688,0.000093
574,99219,,1,"The Butlerian Jihad (Legends of Dune, #1)",None,276,43.5,0,0.709012,26907,0,0.118149,0.000082
575,43892,,1,"Blood of the Fold (Sword of Truth, #3)",None,836,80.205047,1,0.472,164742,0,0.307041,0.000119
576,550940,,1,"The Chase (Isaac Bell, #1)",None,113,13.3,5,0.703698,4453,0,0.085509,0.000055
581,28790025,,1,"Reign of Madness (King's Dark Tidings, #2)",None,199,19.915385,1,0.660728,13017,0,0.046848,0.000038
582,673252,,1,Anne McCaffrey's Dragonflight #1,None,413,33.170365,2,0.602588,51267,0,0.184599,0.000078
586,9268487,,1,"The Daylight War (Demon Cycle, #3)",None,708,72.860601,1,0.516957,129383,0,0.209382,0.000099
604,355,,1,Job: A Comedy of Justice,None,346,45.09697,0,0.629622,37579,0,0.141695,0.000087
606,645023,,1,"Castle of Wizardry (The Belgariad, #4)",None,662,63.947619,2,0.524459,114747,0,0.235734,0.000098
609,26030742,,1,"Sharp Ends (First Law World, #7)",None,378,55.809091,1,0.647622,46145,0,0.091024,0.000077
610,43814,,1,"The Vampire Lestat (The Vampire Chronicles, #2)",None,753,61.599291,3,0.463621,131264,0,0.48373,0.000175
619,18423,,1,The Left Hand of Darkness (Hainish Cycle #4),None,693,52.673749,0,0.497477,119284,0,0.348593,0.000123
627,66655,,1,Necroscope (Necroscope #1),None,267,42.054545,3,0.717299,25472,0,0.126293,0.000084
635,43889,,1,"Wizard's First Rule (Sword of Truth, #1)",None,1060,121.888246,1,0.417975,234597,0,0.418923,0.000178
642,6839093,,1,"Chew, Vol. 1: Taster's Choice",None,369,27.831069,4,0.54881,37262,0,0.140673,0.00006
646,13542990,,1,"Marbles: Mania, Depression, Michelangelo, and Me",None,88,9.563636,4,0.689394,2639,0,0.069644,0.00005
664,22816087,,1,Seveneves,None,784,63.179176,0,0.471362,144678,0,0.293072,0.00011
665,9577857,,1,1984,None,238,15.148333,4,0.578768,16323,0,0.127554,0.000053
680,61958,,1,"Moreta: Dragonlady of Pern (Pern, #7)",None,362,42.769797,2,0.627431,40997,0,0.17709,0.000093
688,17157681,,1,"The Hobbit, Part One",None,667,38.378166,2,0.508948,113043,0,0.397767,0.000113
699,816,,1,Cryptonomicon,None,856,72.847177,0,0.4692,171699,0,0.29749,0.000118
714,944076,,1,"Last Argument of Kings (The First Law, #3)",None,881,95.450811,1,0.467395,181181,0,0.26475,0.000122
722,25843420,,1,"The Atlantis Gene (The Origin Mystery, #1)",None,364,29.95348,0,0.587534,38816,0,0.12648,0.000065
723,530965,,1,The Day of the Triffids,None,612,39.516142,0,0.537451,100485,0,0.288458,0.000096
733,14744381,,1,"The Walking Dead, Compendium 2",None,282,34.469697,4,0.609197,24137,0,0.106219,0.000065
746,34511,,1,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",None,541,60.119371,2,0.560697,81901,0,0.208754,0.000093
749,55398,,1,"House of Chains (Malazan Book of the Fallen, #4)",None,617,70.790443,1,0.58059,110333,0,0.147705,0.000084
752,18007564,,1,The Martian,None,1381,200.346347,0,0.327425,312000,0,0.748768,0.00051
759,7108001,,1,"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",None,648,38.607,3,0.495196,103807,0,0.41033,0.000124
761,102958,,1,"Preacher, Volume 9: Alamo",None,235,29.565152,4,0.632188,17382,0,0.09451,0.000062
771,209966,,1,"Planetary, Volume 1: All Over the World and Other Stories",None,269,36.4,4,0.640099,23073,0,0.091837,0.000064
776,7940591,,1,Blockade Billy,None,310,49.040909,3,0.68646,32878,0,0.145129,0.00009
777,34,,1,"The Fellowship of the Ring (The Lord of the Rings, #1)",None,1584,450.468336,5,0.291782,365818,0,0.88039,0.00109
779,70535,,1,"2001: A Space Odyssey (Space Odyssey, #1)",None,1103,109.714208,0,0.390522,237341,0,0.46173,0.000213
787,3750,,1,"Moonraker (James Bond, #3)",None,277,29.237995,2,0.676006,25841,0,0.118891,0.000064
794,3227063,,1,"The Way of Shadows (Night Angel, #1)",None,854,87.007027,1,0.473285,172385,0,0.323705,0.000137
803,21418013,,1,"Lock In (Lock In, #1)",None,494,38.79146,0,0.559115,68084,0,0.205909,0.00008
813,362145,,1,"Looking Good Dead (Roy Grace, #2)",None,131,13.3,3,0.65273,5558,0,0.077726,0.000051
821,7923006,,1,"The Kingdom of Gods (Inheritance, #3)",None,256,30.427273,0,0.657843,21472,0,0.121222,0.000073
843,259538,,1,"Outbreak (Dr. Marissa Blumenthal, #1)",None,396,30.361687,5,0.554124,43338,0,0.264438,0.000093
847,50930,,1,"The Mark (Left Behind, #8)",None,198,23.802065,3,0.752243,14671,0,0.162195,0.00008
852,6572,,1,Suffer the Children,None,352,32.604763,3,0.647614,40007,0,0.149963,0.000063
865,14996,,1,"Brother Odd (Odd Thomas, #3)",None,557,52.420994,3,0.526471,81522,0,0.314854,0.000122
874,25817087,,1,"Constitution (Legacy Fleet Trilogy, #1)",None,166,16.554545,0,0.676086,9259,0,0.046553,0.000036
877,35921,,1,"On Basilisk Station (Honor Harrington, #1)",None,468,40.181342,0,0.572027,62510,0,0.139806,0.000064
880,175983,,1,"Memories of Ice (Malazan Book of the Fallen, #3)",None,667,71.578618,1,0.56153,124722,0,0.163573,0.000084
882,17853024,,1,"The Pagan Lord (The Saxon Stories, #7)",None,134,19.6,5,0.668051,5953,0,0.093925,0.000063
887,327255,,1,The Fourth Protocol,None,238,26.655949,5,0.609687,17195,0,0.123946,0.000066
897,216442,,1,"Dark Force Rising (Star Wars: The Thrawn Trilogy, #2)",None,557,42.629164,0,0.552633,85573,0,0.174127,0.00007
899,239105,,1,"The Silent Blade (Forgotten Realms: Paths of Darkness, #1; Legend of Drizzt, #11)",None,499,62.833462,1,0.623697,77495,0,0.117978,0.000077
901,6250169,,1,"Unseen Academicals (Discworld, #37; Rincewind #8)",None,513,61.877917,2,0.579526,76108,0,0.186693,0.000091
907,29868612,,1,A Life in Parts,None,173,16.881818,1,0.684232,10180,0,0.101692,0.00006
920,6238080,,1,Wolverine: Old Man Logan,None,308,43,4,0.593363,28053,0,0.121028,0.000082
925,616678,,1,"The Diamond Throne (The Elenium, #1)",None,501,59.585857,2,0.570156,71412,0,0.16071,0.000087
928,154798,,1,Superman: Red Son,None,439,36.11256,4,0.516876,49693,0,0.16742,0.000068
933,5094,,1,"The Drawing of the Three (The Dark Tower, #2)",None,1230,145.177599,3,0.356599,269530,0,0.495808,0.000231
935,6287290,,1,Altar of Eden,None,271,38.8,5,0.659041,24111,0,0.082936,0.000067
941,32692,,1,Gerald's Game,None,723,81.967914,3,0.457796,119486,0,0.420914,0.000159
948,75024,,1,"The Templar Legacy (Cotton Malone, #1)",None,420,31.55713,5,0.602273,52994,0,0.230541,0.000083
950,32423,,1,Watchers,None,785,76.147484,3,0.465238,143163,0,0.426606,0.00016
955,40289,,1,The Abyss,None,273,37,3,0.645389,23962,0,0.140758,0.00009
958,32438,,1,Shattered,None,346,42.578089,3,0.637095,38025,0,0.138716,0.000078
963,28684704,,1,Dark Matter,None,190,20.854545,0,0.695015,12479,0,0.110049,0.000063
974,68380,,1,Dragonlance Chronicles (Dragonlance #1-3),None,232,27.336364,1,0.665211,17825,0,0.062909,0.000045
980,1268479,,1,"Warbreaker (Warbreaker, #1)",None,734,79.129549,1,0.515763,138746,0,0.296507,0.000119
