Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Authority,Hub
9072,5128,,1,The Doors of Perception &#38; Heaven and Hell,None,570,45.190385,2,0.571665,92704,0,0.344783,0.00007,0.018988,0.018988
9078,2784,,1,Ways of Seeing,None,682,42.983664,5,0.457349,106206,0,0.372826,0.000076,0.020482,0.020482
9079,91440,,1,Love Medicine,None,342,47.9,0,0.734441,42826,0,0.241253,0.000095,0.013306,0.013306
9080,42389,,1,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",None,725,43.210374,3,0.549392,144188,0,0.435646,0.000081,0.02401,0.02401
9090,18077903,,1,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",None,582,38.735941,3,0.442548,74822,0,0.297892,0.000071,0.016275,0.016275
9098,14897790,,1,Er ist wieder da,None,179,19.672727,2,0.745214,11872,0,0.124822,0.00005,0.006868,0.006868
9107,140278,,1,"4:50 from Paddington (Miss Marple, #8)",None,357,43.670696,4,0.692412,44000,0,0.235019,0.000068,0.012949,0.012949
9123,4981,,1,Slaughterhouse-Five,None,2230,376.141914,2,0.246922,613685,0,0.941435,0.000641,0.051606,0.051606
9124,355190,,1,Orientalism,None,346,30.477056,2,0.589579,35189,0,0.211301,0.000052,0.011626,0.011626
9127,865,,1,The Alchemist,None,2397,415.66913,3,0.221278,635423,0,0.96023,0.000807,0.052521,0.052521
9131,5527,,1,All the King's Men,None,769,58.7593,2,0.516302,152462,0,0.45039,0.000085,0.024819,0.024819
9132,4687,,1,The Cider House Rules,None,1128,84.490563,0,0.444158,282319,0,0.614438,0.000148,0.033879,0.033879
9133,1409344,,1,Driving Miss Daisy,None,356,36.452559,1,0.635227,40140,0,0.21184,0.00007,0.011671,0.011671
9136,1844941,,1,Kuyucakl&#305; Yusuf,None,145,22.6,2,0.81772,8537,0,0.109052,0.00004,0.005996,0.005996
9141,12959045,,1,My Friend Dahmer,None,203,15.63,0,0.598547,12272,0,0.127461,0.000051,0.006996,0.006996
9142,1622,,1,A Midsummer Night's Dream,None,1608,155.379418,1,0.325131,420079,0,0.763003,0.00032,0.041962,0.041962
9149,25666050,,1,Algorithms to Live By: The Computer Science of Human Decisions,None,320,29.942058,3,0.527469,26922,0,0.16552,0.000054,0.009017,0.009017
9156,27845690,,1,The Course of Love,None,306,34.187879,3,0.607286,28339,0,0.190742,0.000067,0.010467,0.010467
9161,899492,,1,The Tell-Tale Heart,None,562,37.823957,1,0.586237,92415,0,0.349956,0.000097,0.019299,0.019299
9162,14554,,1,"If Tomorrow Comes (Tracy Whitney, #1)",None,388,28.765113,4,0.61821,46414,0,0.245659,0.000068,0.013502,0.013502
9163,4662,,1,The Short Stories,None,388,51.7,1,0.647833,48638,0,0.251006,0.000077,0.013846,0.013846
9164,40495148,,1,Blindness,None,212,20.126523,2,0.730797,16345,0,0.154265,0.000049,0.008476,0.008476
9167,527744,,1,"After the Funeral (Hercule Poirot, #31)",None,297,39.935365,4,0.699449,30745,0,0.195553,0.000072,0.010746,0.010746
9172,107301,,1,A Town Like Alice,None,459,36.885336,1,0.593772,62412,0,0.280366,0.000077,0.015458,0.015458
9175,2364284,,1,&#1571;&#1608;&#1604;&#1575;&#1583; &#1581;&#1575;&#1585;&#1578;&#1606;&#1575;,None,175,18.129591,4,0.534056,8131,0,0.088406,0.000045,0.004804,0.004804
9176,290039,,1,"Flyy Girl (Flyy Girl, #1)",None,115,15.009091,0,0.73791,4837,0,0.079415,0.000045,0.004361,0.004361
9178,7913305,,1,"The Immortals of Meluha (Shiva Trilogy, #1)",None,405,33.793762,4,0.548331,44859,0,0.231822,0.000066,0.012699,0.012699
9180,14096,,1,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",None,527,34.916471,3,0.529975,73455,0,0.307854,0.00006,0.016916,0.016916
9196,13023,,1,Alice in Wonderland,None,1428,113.991689,1,0.354364,361054,0,0.702502,0.00026,0.038646,0.038646
9201,40189,,1,A Year in Provence,None,488,31.598636,0,0.600355,71339,0,0.30838,0.000072,0.016988,0.016988
9207,135479,,1,Cat's Cradle,None,1680,167.698526,2,0.311793,439741,0,0.780606,0.000258,0.042873,0.042873
9209,1715,,1,Metamorphoses,None,765,61.587569,1,0.535037,156354,0,0.45127,0.000088,0.024888,0.024888
9217,13331184,,1,"Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality",None,257,22.943007,0,0.634788,20882,0,0.165457,0.000061,0.009103,0.009103
9218,4137,,1,Me Talk Pretty One Day,None,1746,182.867192,0,0.306203,466465,0,0.80722,0.000353,0.044346,0.044346
9220,251688,,1,Breakfast at Tiffany's,None,1385,101.88675,1,0.366457,351220,0,0.691825,0.000162,0.038074,0.038074
9221,61663,,1,Pale Blue Dot: A Vision of the Human Future in Space,None,391,32.373773,3,0.563106,42934,0,0.225681,0.000064,0.012376,0.012376
9227,7707,,1,Pygmalion &#38; My Fair Lady,None,334,46.672727,1,0.714463,39732,0,0.212139,0.000071,0.011701,0.011701
9232,588234,,1,Ceremony,None,352,39.202098,1,0.72546,44816,0,0.249906,0.000081,0.013784,0.013784
9234,8161568,,1,Kitchen Confidential: Adventures in the Culinary Underbelly,None,189,19.063636,2,0.663289,11784,0,0.121143,0.000049,0.006661,0.006661
9244,2654,,1,To Kill a Mockingbird,None,197,19.389943,0,0.737128,14231,0,0.144112,0.000056,0.007923,0.007923
9247,42603,,1,Black Like Me,None,808,52.994224,1,0.490722,159989,0,0.457383,0.000091,0.025188,0.025188
9250,2794,,1,The Crying of Lot 49,None,942,74.466047,2,0.450422,199632,0,0.51117,0.000105,0.028159,0.028159
9252,71771,,1,"The Bastard (Kent Family Chronicles, #1)",None,180,21.381818,1,0.774178,12472,0,0.129302,0.000059,0.00712,0.00712
9264,27161964,,1,Gratitude,None,327,34.318182,3,0.58543,31204,0,0.19867,0.00008,0.010917,0.010917
9265,480204,,1,The Phantom of the Opera,None,1069,73.016776,1,0.443042,252909,0,0.579292,0.000162,0.031923,0.031923
9266,4894,,1,Who Moved My Cheese?,None,1414,108.739592,3,0.31063,310317,0,0.644174,0.00019,0.035267,0.035267
9287,28407,,1,Germinal,None,465,46.027954,2,0.627429,67687,0,0.291761,0.00006,0.016092,0.016092
9288,816870,,1,Johnny Tremain,None,518,37.521217,1,0.625468,83752,0,0.332414,0.000088,0.018333,0.018333
9290,6117055,,1,The Greatest Show on Earth: The Evidence for Evolution,None,579,42.903146,3,0.52175,87305,0,0.334354,0.000081,0.018372,0.018372
9299,7244,,1,The Poisonwood Bible,None,1684,191.179217,0,0.31717,449457,0,0.789838,0.000415,0.043407,0.043407
