Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks
6624,368468,,1,"Bud, Not Buddy",None,589,43.54347,1,0.512895,88816,0,0.266113,0.000108
6625,25526296,,1,"Every Heart a Doorway (Wayward Children, #1)",None,722,55.939123,3,0.477338,124242,0,0.339891,0.000103
6627,49041,,1,"New Moon (Twilight, #2)",None,2781,543.508067,0,0.217835,842062,0,0.958704,0.000895
6634,17337562,,1,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",None,881,105.450367,5,0.465138,180306,0,0.381974,0.000113
6635,151370,,1,"Many Waters (Time Quintet, #4)",None,275,22.181936,1,0.686052,25847,0,0.153038,0.000075
6640,164719,,1,"Lord Loss (The Demonata, #1)",None,277,38.783333,1,0.693559,26512,0,0.152737,0.000062
6646,11457525,,1,"Switched (Trylle, #1)",None,481,51.446004,2,0.609546,70366,0,0.256457,0.000068
6652,73080,,1,"Nobody's Baby But Mine (Chicago Stars, #3)",None,351,35.448155,0,0.54919,33734,0,0.157391,0.000058
6664,2146957,,1,"Grip of the Shadow Plague (Fablehaven, #3)",None,690,53.817651,1,0.529572,125882,0,0.3317,0.000084
6665,26856502,,1,"Vengeful (Villains, #2)",None,469,42.195318,3,0.60589,66494,0,0.247826,0.000091
6670,53168,,1,"Demon Thief (The Demonata, #2)",None,388,49.848601,1,0.582621,43742,0,0.193657,0.000077
6676,23299512,,1,"This Savage Song (Monsters of Verity, #1)",None,504,63.106993,3,0.621477,78776,0,0.271336,0.000087
6677,439275,,1,"Princess in the Spotlight (The Princess Diaries, #2)",None,654,60.581693,0,0.544249,116214,0,0.328671,0.000084
6678,308732,,1,"Song of the Wanderer (Unicorn Chronicles, #2)",None,310,37.109091,1,0.658503,31539,0,0.167753,0.000061
6684,464164,,1,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",None,363,30.398502,1,0.613549,40312,0,0.193829,0.000066
6688,34948440,,1,"The Cruel Prince (The Folk of the Air, #1)",None,350,40.1,3,0.567499,34660,0,0.178955,0.000071
6691,948526,,1,"The Knight at Dawn (Magic Tree House, #2)",None,336,31.823848,1,0.578287,32546,0,0.149696,0.000052
