Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks
2,7274337,,1,The Invisible Bridge,None,670,62.123305,3,0.521795,116942,0,0.372473,0.00039
4,11571298,,1,Thirteen Reasons Why,None,168,14.039161,0,0.567223,7957,0,0.07858,0.000136
5,16008171,,1,Winter of the World (The Century Trilogy #2),None,198,18.953613,0,0.474132,9247,0,0.07209,0.000177
8,232123,,1,"All That Remains (Kay Scarpetta, #3)",None,686,58.122941,1,0.444468,104430,0,0.330549,0.000388
12,34368113,,1,"End Game (Will Robie, #5)",None,511,59.45303,1,0.476712,62118,0,0.252919,0.000388
17,30184217,,1,Say Goodbye for Now,None,288,34.966783,0,0.455212,18813,0,0.088619,0.00029
20,35510008,,1,This is Going to Hurt: Secret Diaries of a Junior Doctor,None,145,11.010334,0,0.588314,6142,0,0.082707,0.000129
21,11737271,,1,Stay Close,None,406,36.776695,1,0.515101,42349,0,0.20908,0.00026
22,34964898,,1,The Family Next Door,None,595,60.511114,2,0.564417,99741,0,0.338874,0.000378
38,33984056,,1,A Stranger in the House,None,1026,88.382461,2,0.439205,230945,0,0.530195,0.000535
40,34068481,,1,From Here to Eternity: Traveling the World to Find the Good Death,None,323,32.174242,2,0.625733,32540,0,0.194424,0.000227
41,40710,,1,"Blowback (Scot Harvath, #4)",None,263,36.654545,1,0.592924,20428,0,0.104143,0.00027
45,31139576,,1,All the Breaking Waves,None,633,56.704969,0,0.328079,65625,0,0.237406,0.00043
50,30002998,,1,Two By Two,None,631,43.433701,2,0.499992,99381,0,0.346072,0.000293
53,21853621,,1,The Nightingale,None,2216,395.21185,2,0.254484,624559,0,0.916205,0.00229
57,4201106,,1,"A Rule Against Murder (Chief Inspector Armand Gamache, #4)",None,531,48.176174,2,0.556572,78318,0,0.303159,0.000315
59,6061060,,1,"New Moon (Twilight, #2)",None,100,11.2,0,0.557374,2759,0,0.052167,0.000123
62,113138,,1,The Winner,None,462,44.941624,1,0.522345,55625,0,0.228807,0.000308
66,24228189,,1,The Gemini Effect,None,184,16.355361,0,0.518057,8722,0,0.077388,0.000156
71,31131524,,1,"Angel (DCI Ryan Mysteries, #4)",None,157,15.371023,0,0.443165,5427,0,0.0575,0.000167
73,250729,,1,The Vanishing Act of Esme Lennox,None,374,42.772727,3,0.601024,41922,0,0.223289,0.000285
78,6539,,1,"The Body Farm (Kay Scarpetta, #5)",None,623,52.035765,1,0.438213,84905,0,0.286258,0.000354
80,21104828,,1,The Lake House,None,1165,93.872959,2,0.398677,270315,0,0.582971,0.000572
84,36249638,,1,How to Walk Away,None,849,73.738504,2,0.462998,166668,0,0.450195,0.000457
87,32738672,,1,Unfu*k Yourself: Get Out of Your Head and Into Your Life,None,386,20.816012,2,0.632595,47005,0,0.235788,0.000169
90,42249612,,1,Here To Stay,None,260,21.917051,0,0.432046,14547,0,0.096165,0.000202
93,139254,,1,"Empress Orchid (Empress Orchid, #1)",None,239,25.477273,3,0.655919,18655,0,0.144951,0.000192
94,37561550,,1,The Au Pair,None,317,36.593939,2,0.584674,29284,0,0.176942,0.00025
96,9975779,,1,"Portrait of a Spy (Gabriel Allon, #11)",None,512,51.806167,1,0.499236,65308,0,0.256144,0.000348
97,10335308,,1,Is Everyone Hanging Out Without Me?,None,1431,116.85035,2,0.343191,351141,0,0.668357,0.000731
98,43848929,,1,Talking to Strangers: What We Should Know about the People We Don't Know,None,691,41.142632,2,0.526127,125426,0,0.38886,0.000282
103,22024583,,1,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",None,305,19.548982,0,0.450431,20882,0,0.1265,0.000181
104,24875387,,1,Along the Infinite Sea (Schuyler Sisters #3),None,543,71.3,2,0.594103,87424,0,0.31947,0.000433
112,53625,,1,"Four Blind Mice (Alex Cross, #8)",None,476,49.173474,1,0.543202,61409,0,0.247113,0.000331
116,23899174,,1,In the Unlikely Event,None,993,77.625536,2,0.437575,215518,0,0.517672,0.000478
117,287655,,1,The Second Assistant: A Tale from the Bottom of the Hollywood Ladder,None,224,22.471528,1,0.668962,16708,0,0.138059,0.000178
120,29437949,,1,Behind Closed Doors,None,1715,184.960178,2,0.311976,458528,0,0.772036,0.001096
125,30688763,,1,My Not So Perfect Life,None,344,44.8,1,0.670266,39543,0,0.222465,0.000294
126,6261961,,1,Labor Day,None,581,54.493635,3,0.590338,99466,0,0.345216,0.000345
128,17380041,,1,Longbourn,None,304,26.807609,3,0.610778,28130,0,0.183849,0.0002
131,27276357,,1,The Girls in the Garden,None,757,75.028216,2,0.501139,143399,0,0.41315,0.000457
132,41012533,,1,Fear: Trump in the White House,None,608,40.747303,2,0.461198,85104,0,0.3152,0.000286
134,6398972,,1,Ford County,None,355,41.883333,1,0.546638,34348,0,0.188764,0.00029
139,92364,,1,Eye of the Needle,None,939,61.794727,1,0.401832,176963,0,0.459588,0.00041
142,15732712,,1,One Hundred Names,None,262,32.9,1,0.609839,20851,0,0.148609,0.000239
144,5293561,,1,"Dragonfly in Amber (Outlander, #2)",None,462,34.952783,0,0.460668,49057,0,0.234544,0.000267
146,23492288,,1,"Hidden Bodies (You, #2)",None,389,50.9,2,0.630072,47549,0,0.232352,0.000326
153,33984070,,1,Silent Child,None,727,55.734772,0,0.321181,84760,0,0.29264,0.000436
155,35488858,,1,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",None,268,25.191142,2,0.569009,20358,0,0.154777,0.000193
160,35961720,,1,"You Think It, I'll Say It",None,735,76.476637,2,0.511157,137882,0,0.395354,0.000465
168,40004610,,1,The Alice Network,None,602,44.505661,0,0.440567,79699,0,0.290003,0.000321
170,42283286,,1,Summer of '69,None,1082,104.956288,2,0.419841,245532,0,0.547723,0.000625
174,40320,,1,Full House (Full #1),None,233,35.954267,1,0.69798,18865,0,0.121217,0.000253
177,64854,,1,"M is for Malice (Kinsey Millhone, #13)",None,547,45.537884,1,0.471985,70482,0,0.255585,0.000317
183,25837341,,1,The Good Neighbor,None,606,45.898844,0,0.423811,77691,0,0.289943,0.000339
186,17286958,,1,Killing Jesus: A History,None,498,47.434182,2,0.578604,71604,0,0.292391,0.00031
190,40963142,,1,"Origin (Robert Langdon, #5)",None,408,30.663706,0,0.419774,34853,0,0.175427,0.000241
197,29864343,,1,"Rich People Problems (Crazy Rich Asians, #3)",None,1077,82.305257,2,0.43559,252392,0,0.557417,0.00051
198,937249,,1,"Separation of Power (Mitch Rapp, #5)",None,479,49.175133,1,0.497812,56990,0,0.225355,0.000339
201,39867964,,1,Nine Perfect Strangers,None,558,46.01109,0,0.427347,66411,0,0.259753,0.000334
203,31113934,,1,The Perfect Girlfriend,None,231,29.2,2,0.590439,15685,0,0.127232,0.000215
204,22067311,,1,Gray Mountain,None,193,17.239277,0,0.370089,6857,0,0.054943,0.000173
212,5971165,,1,"The White Queen (The Plantagenet and Tudor Novels, #2; The Cousins War #1)",None,1013,66.302481,3,0.378678,194102,0,0.488615,0.000442
216,37486540,,1,"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America",None,317,34.290909,2,0.621451,31126,0,0.184854,0.000241
221,36004075,,1,"The Fallen (Amos Decker, #4)",None,514,45.100479,0,0.353046,46546,0,0.195432,0.000353
222,16138688,,1,The Painted Girls,None,508,36.265452,3,0.56592,72878,0,0.296911,0.00025
230,24911006,,1,Missoula: Rape and the Justice System in a College Town,None,623,43.744788,2,0.531491,102978,0,0.350925,0.000296
234,425123,,1,"Gone, Baby, Gone (Kenzie &#38; Gennaro, #4)",None,416,38.27684,1,0.471212,40675,0,0.204059,0.000272
235,22744701,,1,"My Sister's Grave (Tracy Crosswhite, #1)",None,736,64.512897,0,0.298673,80785,0,0.257258,0.000499
240,24972194,,1,On the Move: A Life,None,315,31.469098,2,0.629805,31147,0,0.183398,0.000225
246,8122546,,1,Cutting for Stone,None,258,22.589198,0,0.472295,15658,0,0.113078,0.000196
257,18913806,,1,"The Magpies (The Magpies, #1)",None,194,22.4,0,0.415469,7778,0,0.070775,0.000205
271,764073,,1,When the Emperor Was Divine,None,320,36.054545,3,0.633797,32349,0,0.189315,0.000251
273,35133922,,1,Educated,None,2122,359.237804,2,0.262625,591006,0,0.88872,0.002086
277,33898874,,1,Class Mom,None,550,61.321212,2,0.575546,86893,0,0.318305,0.00038
281,6202661,,1,"I Heart New York (I Heart, #1)",None,207,17.454582,1,0.65874,14045,0,0.126451,0.00015
288,15818362,,1,Into the Darkest Corner,None,615,51.887866,2,0.532523,100543,0,0.345916,0.000335
289,40277241,,1,Brief Answers to the Big Questions,None,140,13.672727,2,0.719836,7004,0,0.090453,0.000126
291,32501,,1,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #16)",None,659,54.517864,1,0.409297,88740,0,0.305259,0.000374
301,26025989,,1,The Princess Diarist,None,391,22.980425,2,0.588471,44868,0,0.23595,0.00018
309,28964852,,1,"Kill Me Again (DCI Tom Douglas, #5)",None,309,27.73553,0,0.376287,17906,0,0.110106,0.000246
312,9160695,,1,Battle Hymn of the Tiger Mother,None,513,33.762354,3,0.547362,71884,0,0.296754,0.000238
313,36373648,,1,The Mars Room,None,357,44.289394,2,0.660813,41992,0,0.216903,0.000291
314,410445,,1,"T is for Trespass (Kinsey Millhone, #20)",None,402,53.159091,1,0.532177,42894,0,0.188985,0.000358
316,142545,,1,"The Stone Monkey (Lincoln Rhyme, #4)",None,322,31.191026,1,0.535187,27659,0,0.164589,0.000231
323,6066819,,1,Best Friends Forever,None,622,44.294683,1,0.549197,106067,0,0.355052,0.000296
325,25614812,,1,"The Scam (Fox and O'Hare, #4)",None,221,30.342424,1,0.533278,12964,0,0.108023,0.000225
332,36529552,,1,Love and Ruin,None,686,71.98539,2,0.534949,125689,0,0.385661,0.000441
335,32600726,,1,The Almost Sisters,None,554,69.234848,2,0.578851,88669,0,0.318998,0.000423
337,25106926,,1,"The Taming of the Queen (The Plantagenet and Tudor Novels, #11)",None,359,37.202681,3,0.565537,36342,0,0.201849,0.000261
352,251519,,1,Good Grief,None,594,47.52007,3,0.520767,91718,0,0.333835,0.000314
359,34565022,,1,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,None,747,47.112951,2,0.481813,134248,0,0.403224,0.000321
360,13184572,,1,The Next Best Thing,None,675,61.719309,1,0.542222,123342,0,0.385929,0.000387
363,40328,,1,Full Blast (Full #4),None,270,47.8,1,0.606526,22026,0,0.132579,0.000322
364,35026134,,1,"The Fire Queen (The Hundredth Queen, #2)",None,144,15.209091,0,0.417541,4299,0,0.053832,0.000155
368,40381901,,1,Her One Mistake,None,336,39.890909,2,0.602043,33883,0,0.19728,0.00027
373,36344555,,1,All We Ever Wanted,None,1230,100.760677,2,0.379654,286956,0,0.597593,0.000621
374,28363972,,1,The Last Days of Night,None,361,37.077173,2,0.68341,44408,0,0.229055,0.000252
377,17450194,,1,Red Sparrow (Red Sparrow Trilogy #1),None,223,25,0,0.524664,12987,0,0.11156,0.000207
380,7856305,,1,"Cross Fire (Alex Cross, #17)",None,499,52.692452,1,0.489276,60793,0,0.247942,0.000351
383,36396964,,1,Everything We Left Behind,None,124,15.2,0,0.559664,4268,0,0.038102,0.000155
388,23153154,,1,"Memory Man (Amos Decker, #1)",None,811,62.845348,1,0.393679,129306,0,0.380084,0.000421
392,11652624,,1,Heaven Is For Real Conversation Guide,None,164,19.3,3,0.74278,9928,0,0.10873,0.000157
393,25197285,,1,Rogue Lawyer,None,311,26.217068,0,0.393175,18953,0,0.114577,0.000228
400,43666435,,1,"Ask Again, Yes",None,365,44.9,0,0.574229,38146,0,0.210737,0.000307
408,4965,,1,Year of Wonders,None,917,66.556976,3,0.43676,183433,0,0.470143,0.000424
413,22693182,,1,Where They Found Her,None,705,60.66582,2,0.534119,132547,0,0.400829,0.00038
415,15171,,1,A Girl Named Zippy,None,417,45.077922,3,0.610058,52914,0,0.24752,0.000297
421,35297339,,1,Asymmetry,None,215,27.5,2,0.685677,15774,0,0.127154,0.000201
426,6348046,,1,"Blood Game (Eve Duncan, #9)",None,176,24.1,1,0.594545,9156,0,0.07404,0.000192
427,14785,,1,"Chosen Prey (Lucas Davenport, #12)",None,293,35.749617,1,0.56342,24102,0,0.135494,0.000261
428,3975186,,1,True Colors,None,719,65.256893,3,0.519326,134049,0,0.402051,0.000405
430,26722820,,1,The Curious Charms of Arthur Pepper,None,619,47.560377,2,0.561742,107445,0,0.358823,0.000309
440,36269116,,1,Orphan Train,None,173,20,0,0.571112,8497,0,0.089013,0.000172
454,2833172,,1,"Scarpetta (Kay Scarpetta, #16)",None,381,43.102144,1,0.522089,37794,0,0.183589,0.000298
456,23453099,,1,Eileen,None,372,40.761855,2,0.620555,42822,0,0.211729,0.000275
457,5167,,1,Cane River,None,613,49.878646,3,0.503609,94466,0,0.332212,0.000331
466,36582334,,1,The Tattooist of Auschwitz,None,233,16.46136,0,0.435141,11761,0,0.113912,0.000175
468,30253864,,1,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",None,749,47.63623,2,0.498401,139615,0,0.411865,0.000315
472,20828980,,1,Obsessed (Lizzy Gardner #4),None,274,34,0,0.405765,15176,0,0.104163,0.00027
492,13136,,1,"2nd Chance (Women's Murder Club, #2)",None,791,71.358835,1,0.417577,130470,0,0.375061,0.000468
497,11045709,,1,When She Woke,None,350,34.049933,3,0.651478,39789,0,0.216309,0.000237
498,37561377,,1,Matchmaking for Beginners,None,351,26.259255,0,0.501197,30786,0,0.181375,0.000209
500,7134202,,1,"Private (Private, #1)",None,688,51.568384,1,0.403486,95355,0,0.313662,0.000355
502,23341607,,1,The Rumor,None,673,57.424811,2,0.515827,116643,0,0.370798,0.000364
504,41002075,,1,The Forgotten Hours,None,372,40.927273,0,0.446903,30839,0,0.166084,0.000299
510,7926242,,1,"Port Mortuary (Kay Scarpetta, #18)",None,344,45.7,1,0.497441,29347,0,0.162475,0.000312
521,65910,,1,"The Perfect Husband (Quincy &#38; Rainie, #1)",None,604,49.170558,1,0.454999,82858,0,0.302519,0.00033
530,45440577,,1,"Bad Memory (Jessica Shaw, #2)",None,231,22.478521,0,0.415961,11050,0,0.063511,0.000208
532,18594409,,1,Can't We Talk about Something More Pleasant?,None,242,24.577273,3,0.697404,20337,0,0.146762,0.000187
535,11797365,,1,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,None,430,21.871417,3,0.590362,54452,0,0.258495,0.000174
540,22237161,,1,The Sellout,None,622,43.562029,2,0.532851,102910,0,0.343046,0.000298
541,36199084,,1,"The Kiss Quotient (The Kiss Quotient, #1)",None,992,68.773904,2,0.438688,215631,0,0.514457,0.000441
543,2983654,,1,"Sweetheart (Archie Sheridan &#38; Gretchen Lowell, #2)",None,223,26.090909,1,0.649093,16067,0,0.135548,0.000196
544,6858,,1,"Hot Six (Stephanie Plum, #6)",None,816,76.051584,1,0.433751,144231,0,0.399082,0.000486
548,20587777,,1,"Some Luck (Last Hundred Years: A Family Saga, #1)",None,461,54.890909,2,0.538715,57120,0,0.255301,0.000356
549,34912895,,1,The Great Alone,None,2229,342.674049,2,0.247473,614501,0,0.902009,0.002044
550,7742,,1,"Ahab's Wife, or The Star-Gazer",None,479,33.276975,3,0.572715,65565,0,0.278521,0.000236
552,34262106,,1,Everything Here Is Beautiful,None,437,57.845455,2,0.613104,58408,0,0.260102,0.00036
553,18467818,,1,An Untamed State,None,273,32.781818,3,0.742243,27558,0,0.182952,0.000227
555,23014603,,1,Those Girls,None,472,53.580886,2,0.5865,65193,0,0.27146,0.000342
557,20881071,,1,"The Burning Room (Harry Bosch, #17; Harry Bosch Universe, #26)",None,559,53.204881,1,0.45782,71402,0,0.277516,0.000357
558,28925266,,1,The Perfect Girl,None,424,40.726607,2,0.603294,54101,0,0.253396,0.000271
570,30045683,,1,The Little Book of Hygge: The Danish Way to Live Well,None,454,24.650485,2,0.5648,58079,0,0.259664,0.000192
571,32920226,,1,"Sing, Unburied, Sing",None,1062,93.88105,2,0.438869,247255,0,0.546572,0.000574
572,16047,,1,A Thread of Grace,None,318,33.386264,3,0.704799,35524,0,0.20168,0.000232
579,31623,,1,"Blow Fly (Kay Scarpetta, #12)",None,461,47.959784,1,0.502546,53285,0,0.217268,0.000327
