,count_0,count_1,count_2,count_3,count_4,count_all
English drama,0.000000,0.000000,0.000000,1.000000,0.000000,13.000000
horror,0.846154,0.000000,0.000000,0.076923,0.076923,13.000000
Authorship,0.153846,0.000000,0.230769,0.461538,0.153846,13.000000
horror fiction,1.000000,0.000000,0.000000,0.000000,0.000000,13.000000
Australia,0.000000,0.000000,0.461538,0.461538,0.076923,13.000000
Dogs,0.076923,0.000000,0.153846,0.692308,0.076923,13.000000
horror tales,0.846154,0.000000,0.000000,0.153846,0.000000,13.000000
Ireland,0.000000,0.000000,0.384615,0.230769,0.384615,13.000000
Florida,0.307692,0.000000,0.076923,0.384615,0.230769,13.000000
Connecticut,0.307692,0.000000,0.153846,0.230769,0.307692,13.000000
Widows,0.153846,0.000000,0.538462,0.076923,0.230769,13.000000
Werewolves,0.076923,0.000000,0.000000,0.000000,0.923077,13.000000
War,0.000000,0.153846,0.076923,0.307692,0.461538,13.000000
Ciencia-ficción,0.076923,0.307692,0.000000,0.461538,0.153846,13.000000
Spies,0.153846,0.076923,0.000000,0.076923,0.692308,13.000000
Twins,0.000000,0.153846,0.230769,0.307692,0.307692,13.000000
Toy and movable books,0.000000,0.076923,0.000000,0.923077,0.000000,13.000000
High school students,0.076923,0.076923,0.153846,0.000000,0.692308,13.000000
"Children's stories, American",0.000000,0.076923,0.000000,0.846154,0.076923,13.000000
Historical,0.000000,0.000000,0.615385,0.076923,0.307692,13.000000
Teenage boys,0.076923,0.000000,0.153846,0.538462,0.230769,13.000000
Success,0.000000,0.000000,0.230769,0.769231,0.000000,13.000000
Study and teaching,0.076923,0.000000,0.000000,0.923077,0.000000,13.000000
"Survival after airplane accidents, shipwrecks",0.076923,0.000000,0.153846,0.538462,0.230769,13.000000
