Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Authority,Hub,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1945,17333230,,1,The Luminaries,None,4,245,0,5.289745,0.25964,0.50823,15191,0.019318,0.019318,0.000592,2,0.545522,0.583447,223.139908
1947,23492671,,1,"The Rosie Effect (Don Tillman, #2)",None,1,307,0,7.239207,0.326748,0.482681,22672,0.024323,0.024323,0.000763,3,0.558175,0.60445,414.103254
1949,12716613,,1,The Witness,None,0,159,0,3.522102,0.198058,0.640236,8042,0.014744,0.014744,0.000416,3,0.527868,0.553701,56.720729
1953,36373647,,1,"When Life Gives You Lululemons (The Devil Wears Prada, #3)",None,0,428,0,13.424913,0.485616,0.538609,49217,0.036279,0.036279,0.001226,3,0.584861,0.64555,408.31668
1965,19241689,,1,The Husband's Secret,None,3,253,0,6.764546,0.227875,0.414737,13221,0.016694,0.016694,0.000793,2,0.547149,0.586172,552.622135
1966,18775365,,1,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,None,4,255,0,7.046404,0.284332,0.554887,17970,0.021197,0.021197,0.00074,3,0.547353,0.586739,173.727511
1969,43708240,,1,Thief River Falls,None,3,67,0,2.334681,0.055024,0.492085,1088,0.004048,0.004048,0.000325,3,0.510786,0.522252,38.446446
1972,46251368,,1,The Mother-in-Law,None,0,177,0,5.644221,0.18382,0.545455,8496,0.013652,0.013652,0.000605,3,0.531691,0.560059,239.031354
1980,35887567,,1,On the Come Up,None,0,333,0,7.362974,0.383979,0.547596,30270,0.028663,0.028663,0.000747,3,0.563748,0.613306,278.444401
1984,35068465,,1,The Last Romantics,None,0,309,0,10.916744,0.34847,0.566595,26962,0.026041,0.026041,0.001019,3,0.558387,0.605018,203.011751
1989,38664775,,1,Sea Prayer,None,4,118,0,2.578929,0.138419,0.629436,4345,0.010327,0.010327,0.000332,3,0.51983,0.53951,32.741432
1990,18870584,,1,Conflict of Interest (Joe Dillard #5),None,3,103,0,6.494295,0.054864,0.420522,2209,0.003887,0.003887,0.000758,3,0.517083,0.534401,123.035357
1996,22571540,,1,The Stranger,None,0,209,0,4.776508,0.237074,0.554104,12044,0.01764,0.01764,0.000525,3,0.537926,0.570958,177.92233
