Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Authority,Hub,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2,11594257,,1,"Under the Never Sky (Under the Never Sky, #1)",None,4,534,0,13.281003,0.5199,0.526593,74940,0.036413,0.036413,0.000892,2,0.61352,0.685031,558.69707
9,8718952,,1,"Vampire Academy Box Set (Vampire Academy, #1-4)",None,1,261,0,8.900541,0.269671,0.654141,22195,0.01887,0.01887,0.000627,2,0.549714,0.590437,88.414423
14,4701550,,1,Passion Unleashed (Demonica #3),None,0,409,0,21.724507,0.359452,0.515269,42992,0.024974,0.024973,0.001246,2,0.58256,0.641719,416.259168
15,8490112,,1,"Daughter of Smoke &#38; Bone (Daughter of Smoke &#38; Bone, #1)",None,4,894,0,14.672915,0.738804,0.367304,146617,0.051617,0.051617,0.000994,2,0.724398,0.809771,2881.362388
16,35425827,,1,"Archenemies (Renegades, #2)",None,4,193,0,4.851712,0.204362,0.723338,13402,0.014334,0.014334,0.000415,2,0.535834,0.566875,41.305931
24,18798983,,1,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",None,4,575,0,16.570744,0.529431,0.498894,82330,0.037107,0.037107,0.001123,2,0.624405,0.699238,710.421065
27,59829,,1,"Dance Upon the Air (Three Sisters Island, #1)",None,2,199,0,7.144423,0.168239,0.522512,10294,0.011641,0.011641,0.000578,2,0.53703,0.568954,160.634993
28,158119,,1,If You Could See Me Now,None,4,216,0,5.515468,0.205978,0.547502,12713,0.014373,0.014373,0.000457,2,0.540449,0.574844,120.62923
29,17317675,,1,"Epilogue (The Dark Duet, #3)",None,6,178,0,8.629016,0.140796,0.62642,9868,0.009737,0.009737,0.000588,2,0.532866,0.561677,68.169863
32,3585344,,1,"Kiss of a Demon King (Immortals After Dark, #6)",None,0,288,0,19.494798,0.268057,0.687911,28430,0.018641,0.018641,0.001107,2,0.555427,0.599792,95.211963
33,7488244,,1,"Unearthly (Unearthly, #1)",None,1,505,0,13.059727,0.47711,0.50998,64900,0.033378,0.033378,0.000871,2,0.606048,0.674983,555.753745
48,17562900,,1,"Night Broken (Mercy Thompson, #8)",None,0,299,0,14.926508,0.26118,0.532132,23707,0.018151,0.018151,0.000923,2,0.557789,0.603604,223.976322
50,15812814,,1,"Crossed (Matched, #2)",None,4,472,0,9.086124,0.439535,0.480748,53438,0.030733,0.030733,0.000659,2,0.597763,0.663548,640.165785
53,93731,,1,"Princess in Pink (The Princess Diaries, #5)",None,5,196,0,6.099337,0.189878,0.609628,11650,0.013247,0.013247,0.00051,2,0.536431,0.567914,80.403554
59,3128411,,1,"Bone Crossed (Mercy Thompson, #4)",None,0,558,0,19.32753,0.490309,0.463653,72053,0.034146,0.034146,0.001166,2,0.619845,0.693347,857.372454
60,13206760,,1,"Scarlet (The Lunar Chronicles, #2)",None,4,823,0,17.428961,0.699505,0.397297,134387,0.048942,0.048942,0.001176,2,0.699467,0.78517,2056.997384
62,162089,,1,"Flawless (Pretty Little Liars, #2)",None,5,388,0,12.480775,0.378687,0.561656,42168,0.026516,0.026516,0.000879,2,0.577662,0.634442,301.294113
63,7304203,,1,"Shadowfever (Fever, #5)",None,0,545,0,18.381402,0.451741,0.441811,65494,0.031367,0.031367,0.001109,2,0.616403,0.688843,919.501454
65,4066312,,1,"Smooth Talking Stranger (Travises, #3)",None,2,180,0,5.900464,0.164406,0.597207,9621,0.011401,0.011401,0.000469,2,0.533259,0.56237,74.721327
71,12127750,,1,"The Mark of Athena (The Heroes of Olympus, #3)",None,4,791,0,12.430077,0.668905,0.400976,125283,0.046811,0.046812,0.000873,2,0.688783,0.774082,1866.847545
74,5941233,,1,"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice (Thirst, #1)",None,1,245,0,6.665455,0.255773,0.672265,20094,0.017861,0.017861,0.000493,2,0.546384,0.584893,75.382195
83,33590260,,1,"Kingdom of Ash (Throne of Glass, #7)",None,4,569,0,15.034126,0.523406,0.491398,79408,0.036667,0.036667,0.001022,2,0.622788,0.697159,755.677204
85,3473,,1,A Walk to Remember,None,5,816,0,8.207552,0.670968,0.366258,121788,0.046763,0.046763,0.000611,2,0.697101,0.782744,2679.871125
92,561456,,1,"The Titan's Curse (Percy Jackson and the Olympians, #3)",None,4,889,0,13.162269,0.730481,0.365506,144271,0.051037,0.051037,0.000914,2,0.722584,0.808039,2864.241799
98,40331,,1,"To the Nines (Stephanie Plum, #9)",None,2,223,0,14.545329,0.198615,0.569143,14088,0.013766,0.013766,0.000946,2,0.54187,0.57727,142.929607
109,6424184,,1,"Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever (Thirst, #2)",None,1,111,0,3.596585,0.125266,0.809664,4943,0.008749,0.008749,0.000325,2,0.52,0.538462,8.3441
115,12600138,,1,"Ready Player One (Ready Player One, #1)",None,4,187,0,3.450776,0.181666,0.580818,10101,0.012696,0.012696,0.00033,2,0.534642,0.564796,83.668476
127,9794437,,1,"Crossed (Matched, #2)",None,4,331,0,7.528504,0.355366,0.642223,35075,0.024923,0.024923,0.000563,2,0.564775,0.614692,143.84616
134,17930773,,1,"Found in You (Fixed, #2)",None,6,253,0,11.177953,0.21949,0.620616,19784,0.015245,0.015245,0.000732,2,0.548044,0.587665,112.352913
139,3393124,,1,"Max (Maximum Ride, #5)",None,4,270,0,7.393328,0.297472,0.718188,26081,0.020883,0.020883,0.000574,2,0.551606,0.593555,76.002739
144,36381037,,1,"Cinder (The Lunar Chronicles, #1)",None,4,473,0,7.828151,0.45354,0.540348,60318,0.031782,0.031782,0.000592,2,0.598011,0.663895,454.862915
152,20560137,,1,"An Ember in the Ashes (An Ember in the Ashes, #1)",None,4,455,0,14.237305,0.44572,0.576366,59530,0.031261,0.031261,0.000981,2,0.593583,0.657658,337.34199
153,421129,,1,"Undead and Unwed (Undead, #1)",None,0,179,0,5.415149,0.177133,0.733413,11684,0.012304,0.012304,0.000397,2,0.533062,0.562024,32.882241
158,18081809,,1,Landline,None,4,377,0,6.9935,0.366985,0.578447,40998,0.025698,0.025698,0.000555,2,0.57513,0.630631,294.694208
160,12792658,,1,"UnSouled (Unwind, #3)",None,4,179,0,4.879176,0.188154,0.749419,11939,0.0132,0.0132,0.000432,2,0.533062,0.562024,31.809301
167,2800905,,1,"The Summoning (Darkest Powers, #1)",None,1,624,0,14.657426,0.544626,0.439982,85522,0.038004,0.038004,0.000964,2,0.637931,0.716216,1167.949465
174,13184992,,1,"Rock Chick Regret (Rock Chick, #7)",None,6,144,0,8.312618,0.124383,0.725039,7465,0.008595,0.008595,0.000582,2,0.526258,0.549896,27.800326
175,7100490,,1,"The Forbidden Game (The Forbidden Game, #1-3)",None,1,263,0,9.545225,0.255072,0.605492,20861,0.017816,0.017816,0.000662,2,0.550133,0.59113,131.922305
180,11746513,,1,"Explosive Eighteen (Stephanie Plum, #18)",None,2,90,0,6.686048,0.071238,0.649438,2601,0.004907,0.004907,0.000497,2,0.516094,0.531185,23.154729
184,6381205,,1,"Soulless (Parasol Protectorate, #1)",None,4,282,0,5.453549,0.28314,0.576664,22848,0.019776,0.019776,0.000445,2,0.554147,0.597713,186.134441
188,16139641,,1,"Grounded (Up in the Air, #3)",None,6,244,0,12.330194,0.210222,0.656244,19455,0.014611,0.014611,0.000801,2,0.546177,0.584546,95.983392
191,51737,,1,The Truth About Forever,None,5,720,0,12.727427,0.626996,0.418432,108307,0.043848,0.043848,0.000902,2,0.666205,0.74948,1540.541701
195,7201913,,1,"Angel (Maximum Ride, #7)",None,4,241,0,7.088316,0.267322,0.719779,20816,0.018757,0.018757,0.000559,2,0.545558,0.583507,62.184258
198,12667194,,1,"Accordance (Significance, #2)",None,6,245,0,7.133664,0.244488,0.606825,18138,0.017102,0.017102,0.000519,2,0.546384,0.584893,102.033238
199,19351043,,1,Nimona,None,4,212,0,4.791418,0.192193,0.638827,14288,0.013443,0.013443,0.000439,2,0.539641,0.573458,85.328725
204,7171637,,1,"Clockwork Angel (The Infernal Devices, #1)",None,4,1105,0,17.66038,0.873519,0.325798,198724,0.060974,0.060974,0.001152,2,0.810219,0.882883,4716.431033
210,2153427,,1,Princess Ben,None,5,142,0,3.380084,0.156937,0.739586,7404,0.010999,0.010999,0.000325,3,0.525683,0.549088,22.194081
212,6468666,,1,"The Reckoning (Darkest Powers, #3)",None,1,515,0,12.41881,0.469795,0.48824,64621,0.032808,0.032808,0.000831,2,0.608604,0.678448,660.014911
214,7095831,,1,"Ship Breaker (Ship Breaker, #1)",None,4,170,0,2.991505,0.193323,0.769231,11050,0.013559,0.013559,0.0003,2,0.531296,0.558905,25.642707
216,23214408,,1,"After Ever Happy (After, #4)",None,6,275,0,7.881345,0.2671,0.575554,21684,0.018664,0.018664,0.000594,2,0.552662,0.595288,161.423575
220,31076583,,1,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",None,4,502,0,15.145671,0.472708,0.517125,65029,0.03308,0.03308,0.001023,2,0.605285,0.673943,561.308727
222,15704001,,1,"Seduction and Snacks (Chocolate Lovers, #1)",None,6,260,0,8.843025,0.23328,0.569617,19179,0.016202,0.016202,0.000611,2,0.549505,0.59009,169.176899
224,10626594,,1,The Scorpio Races,None,4,382,0,8.205444,0.379292,0.576548,41956,0.026585,0.026585,0.000619,2,0.576278,0.632363,281.251349
233,2168860,,1,"One Foot in the Grave (Night Huntress, #2)",None,0,446,0,15.466798,0.391032,0.519545,51557,0.027158,0.027158,0.000936,2,0.591393,0.654539,462.132258
235,107779,,1,"The Bride (Lairds' Fianc&#233;es, #1)",None,2,254,0,9.618818,0.193828,0.480906,15452,0.013371,0.013371,0.000683,2,0.548252,0.588011,240.597759
241,7740152,,1,"Torment (Fallen, #2)",None,1,762,0,18.586225,0.667097,0.424138,122975,0.04658,0.04658,0.001176,2,0.679379,0.764033,1661.991449
244,7384801,,1,"Taken by Midnight (Midnight Breed, #8)",None,0,320,0,17.678863,0.282038,0.623237,31810,0.019567,0.019567,0.001029,2,0.562354,0.61088,180.589384
247,17383918,,1,"Allegiant (Divergent, #3)",None,4,324,0,6.735543,0.325727,0.608722,31852,0.02283,0.02283,0.000549,2,0.563232,0.612266,191.823692
250,13455782,,1,"Shatter Me (Shatter Me, #1)",None,4,315,0,9.053524,0.316897,0.612011,30267,0.022205,0.022205,0.000679,2,0.56126,0.609148,180.648595
257,17333171,,1,"Magic Shifts (Kate Daniels, #8)",None,0,215,0,11.190708,0.200016,0.642556,14782,0.013921,0.013921,0.00072,2,0.540247,0.574498,74.013912
273,20803953,,1,"Bully (Fall Away, #1)",None,6,404,0,11.214638,0.394652,0.553215,45035,0.027608,0.027608,0.000782,2,0.581386,0.639986,355.048217
